,Year,Month,Day,Pressure (hPa),Temperature (oC),Dew Point Temp (oC),Relative Humidity (%),Wind Speed(m/s),wind direction(deg),Soil Moisture (kg m-2) at 10 cm depth,Rainfall (mm),PETo,AETo
147,2019,5,28,1001.2125,38.37777778,18.00833333,32.59406932,2.193333333,141.8518519,14.74125831,0.0,3.8171919470020277,0.0
148,2019,5,29,1000.925,37.39473684,21.24210526,41.22415251,1.981578947,118.0769231,14.91382497,0.0,3.0588655717019,0.0
149,2019,5,30,1001.4375,36.01621622,22.69189189,47.71812071,2.335135135,140.30303030000002,17.56185829,0.0,3.1291629360488162,0.0
150,2019,5,31,1001.575,37.49473684,20.80789474,39.13229745,2.105263158,172.66666669999995,17.38528614,0.0,3.4125831618000344,0.0
151,2019,6,1,1003.975,32.83076923,21.16410256,50.52866974,2.5,281.1538462,17.82767775,0.0,3.044431527069655,0.0
152,2019,6,2,1001.9,35.38947368,20.72894737,44.57241493,2.3058823530000003,212.962963,20.7717722,0.1,3.1886884096645365,0.09998361338122685
153,2019,6,3,1003.9,31.34285714,22.81142857,63.75360042,4.017647059,246.0606061,29.65291938,10.7,3.0368430294751945,2.831116255280017
154,2019,6,4,1003.414286,32.41904762,23.39761905,60.51439253,2.0625,211.2121212,26.37851668,221.0,2.0149844579133673,2.0104002264157126
155,2019,6,5,1001.3375,35.65263158,22.25263158,47.74678049,2.28125,258.5714286,23.58879719,0.0,3.0236444645562592,0.0
156,2019,6,6,1002.3,35.03783784,22.02972973,48.61928010000001,3.754054054,232.1212121,28.50651949,0.0,4.470947182053506,0.0
157,2019,6,7,1002.975,35.23783784,22.05945946,48.266504,2.147222222,237.8571429,30.08577489,1.9,2.8247589769023507,1.5610440331970459
158,2019,6,8,1004.0125,30.03684211,23.57105263,69.79174323,2.155172414,170.3846154,30.67217501,376.4,1.543760560099022,1.5421790234456598
159,2019,6,9,1001.6,33.77272727,23.32045455,55.97647939,1.94047619,242.0,28.70404723,0.9,2.1714321817072233,0.8354226091210767
160,2019,6,10,1001.0875,34.67368421,22.60789474,50.56077112,3.513513514,226.8571429,26.39453893,0.0,4.1115673853347525,0.0
161,2019,6,11,1000.675,34.63243243,22.16216216,49.6274234,3.1459459460000003,217.8378378,24.58368052,0.0,3.798680525906185,0.0
162,2019,6,12,1002.0625,33.37435897,22.28974359,52.90425542,5.002564103,233.3333333,22.54315553,0.0,5.061599185511332,0.0
163,2019,6,13,1003.35,32.17105263,22.67894737,58.11414010000001,4.678947368,250.5263158,21.19303055,0.0,4.159292466004479,0.0
164,2019,6,14,1002.95,32.99428571,21.69142857,52.71341548,4.262857143,243.1428571,20.10353894,8.0,4.412426070358475,3.766825548787086
165,2019,6,15,1003.0125,34.1,20.23947368,45.95229699,5.324324324,255.1351351,19.09278884,0.0,6.032190618928698,0.0
166,2019,6,16,1003.525,33.96315789,20.65263158,47.07212887,4.997368421,264.4736842,18.24924442,0.0,5.669104191131292,0.0
167,2019,6,17,1004.1,33.27777778,20.48611111,48.12930525,4.975,272.0588235,17.70755274,0.0,5.484082444052607,0.0
168,2019,6,18,1002.675,34.05789474,19.57368421,43.73839037,4.316666667,260.5555556,17.33652225,0.8,5.400213318640804,0.796627368269401
169,2019,6,19,1001.514286,34.225,21.0275,47.23707762,4.4775,254.8717949,16.90794165,0.0,5.247064367758141,0.0
170,2019,6,20,1002.025,33.07567568,22.3,54.5622816,4.518918919,254.7222222,24.99347501,0.0,4.433086513145334,0.0
171,2019,6,21,1002.575,28.99428571,23.75142857,75.77973518,2.5878787880000003,203.3333333,27.1272944,26.3,1.3992273001383333,1.3808213229100677
